"","the weight of the stock-picking concept","","","","","","the original investment performance indicator","","","","","","the normalized  investment performance indicator","","","","",""
"37","0.000","0.000","0.333","0.333","0.000","0.333","4.62%","1.12%","1.2040410674658","12.43%","55.00%","45.00%","0.594","0.577","0.413","0.395","0.560","0.400"
"38","0.333","0.000","0.000","0.000","0.333","0.333","1.77%","0.31%","0.92485341221512","9.36%","60.00%","50.00%","0.481","0.460","0.265","0.263","0.680","0.467"
"39","0.000","0.333","0.000","0.000","0.333","0.333","2.40%","0.43%","0.85793281681132","8.48%","65.00%","45.00%","0.506","0.478","0.230","0.226","0.800","0.400"
"40","0.000","0.000","0.333","0.000","0.333","0.333","1.72%","0.27%","0.90535241951274","8.98%","55.00%","50.00%","0.479","0.455","0.255","0.247","0.560","0.467"
"41","0.000","0.000","0.000","0.333","0.333","0.333","1.00%","0.11%","0.8891535203701","9.09%","60.00%","45.00%","0.451","0.431","0.247","0.252","0.680","0.400"
"42","0.250","0.250","0.250","0.250","0.000","0.000","9.61%","2.47%","1.4810312672566","15.36%","55.00%","50.00%","0.791","0.773","0.559","0.521","0.560","0.467"
"43","0.250","0.250","0.250","0.000","0.250","0.000","5.80%","1.46%","1.3471089132883","13.66%","55.00%","70.00%","0.640","0.627","0.488","0.448","0.560","0.733"
"44","0.250","0.250","0.000","0.250","0.250","0.000","6.42%","1.56%","1.2170779069266","12.51%","65.00%","65.00%","0.665","0.641","0.419","0.399","0.800","0.667"
"45","0.250","0.000","0.250","0.250","0.250","0.000","6.56%","1.81%","1.5790282220562","16.25%","55.00%","45.00%","0.670","0.677","0.610","0.559","0.560","0.400"
"46","0.000","0.250","0.250","0.250","0.250","0.000","6.77%","1.67%","1.2694502053415","13.04%","60.00%","55.00%","0.679","0.658","0.447","0.421","0.680","0.533"
"47","0.250","0.250","0.250","0.000","0.000","0.250","4.29%","1.04%","1.1360646330057","11.75%","60.00%","60.00%","0.581","0.566","0.377","0.366","0.680","0.600"
"48","0.250","0.250","0.000","0.250","0.000","0.250","3.36%","0.73%","0.99695514280902","10.25%","55.00%","60.00%","0.544","0.520","0.303","0.301","0.560","0.600"
"49","0.250","0.000","0.250","0.250","0.000","0.250","4.36%","1.16%","1.3122573012759","13.93%","60.00%","50.00%","0.584","0.583","0.470","0.460","0.680","0.467"
"50","0.000","0.250","0.250","0.250","0.000","0.250","5.13%","1.17%","1.0718797777178","10.85%","60.00%","60.00%","0.614","0.585","0.343","0.327","0.680","0.600"
"51","0.250","0.250","0.000","0.000","0.250","0.250","2.39%","0.42%","0.85232478101497","8.39%","55.00%","55.00%","0.506","0.476","0.227","0.222","0.560","0.533"
"52","0.250","0.000","0.250","0.000","0.250","0.250","2.07%","0.45%","1.0940616926123","11.22%","60.00%","60.00%","0.493","0.480","0.355","0.343","0.680","0.600"
"53","0.000","0.250","0.250","0.000","0.250","0.250","3.74%","0.76%","0.9063474137765","8.92%","55.00%","65.00%","0.559","0.526","0.256","0.245","0.560","0.667"
"54","0.250","0.000","0.000","0.250","0.250","0.250","3.09%","0.64%","0.9793829524224","10.05%","55.00%","65.00%","0.533","0.508","0.294","0.293","0.560","0.667"
"55","0.000","0.250","0.000","0.250","0.250","0.250","1.86%","0.34%","0.89211830290643","9.20%","65.00%","40.00%","0.485","0.464","0.248","0.257","0.800","0.333"
"56","0.000","0.000","0.250","0.250","0.250","0.250","3.67%","0.79%","1.0485706218343","10.51%","60.00%","55.00%","0.556","0.530","0.331","0.313","0.680","0.533"
"57","0.200","0.200","0.200","0.200","0.200","0.000","8.05%","2.00%","1.3719744862129","13.92%","55.00%","60.00%","0.729","0.705","0.501","0.459","0.560","0.600"
"58","0.200","0.200","0.200","0.200","0.000","0.200","5.49%","1.30%","1.181784489441","11.92%","55.00%","55.00%","0.628","0.603","0.401","0.373","0.560","0.533"
"59","0.200","0.200","0.200","0.000","0.200","0.200","3.47%","0.74%","1.0107705759252","10.08%","55.00%","65.00%","0.548","0.522","0.311","0.294","0.560","0.667"
"60","0.200","0.200","0.000","0.200","0.200","0.200","3.37%","0.68%","0.91844448536848","9.20%","60.00%","60.00%","0.544","0.514","0.262","0.257","0.680","0.600"
"61","0.200","0.000","0.200","0.200","0.200","0.200","4.49%","1.04%","1.1628781273874","11.82%","55.00%","50.00%","0.588","0.566","0.391","0.369","0.560","0.467"
"62","0.000","0.200","0.200","0.200","0.200","0.200","4.05%","0.88%","0.99839201697397","10.06%","60.00%","65.00%","0.571","0.542","0.304","0.293","0.680","0.667"
"63","0.167","0.167","0.167","0.167","0.167","0.167","5.75%","1.29%","1.0484893463431","10.50%","55.00%","75.00%","0.638","0.602","0.331","0.312","0.560","0.800"
